RootName,SBE_Utterance,NeutralDistinct,AAVE_Utterance,Gesture,args,aae_args,SBE_wav_name,SBE_wav,AAVE_wav_name,AAVE_wav,NeutralDistinct,Notes_AAVEFeatures,Notes_Phono,Notes for recording,TaskIntro,On-Task,Monologue,Monologue Order,Feedback: test,AT: test,Social: test,Task Intro: test,Prepping for presentation: test,Science Monologue: test,Social Talk: test,Accountable Talk: test,On-task Sentences: test,Dialect Use: test
RD1, the fuzz?,,,RD1v,"start=""sp1:start"" end=""sp1:start+3.6""",,RD1-s.wav,,RD1-v.wav,,,,,,1,1,,,,,,,,,,,,
RD2,  high  ,,,RD1v,,,RD2-s.wav,,RD2-v.wav,,,,,,1,1,,,,,,,,,,,,
RD3,  so I think it needs to be high and long and with a golf ball to be fastest.,,  so I think it need to be high and long and with a golf ball to be most fastes'.,RD3v,"start=""sp1:start"" end=""sp1:start+5.3""",,RD3-s.wav,,RD3-v.wav,,,verbalS; doubleComp,,,,1,,,,,,,,,,,,
RD4, golf ball ,,,RD1v,,,RD4-s.wav,,RD4-v.wav,,,,,,1,1,,,,,,,,,,,,
RD5, if it's the heavy one it's rolling down faster,,,RD5v,"start=""sp1:start"" end=""sp1:start+3.4""",,RD5-s.wav,,RD5-v.wav,,,,,"""should we pick the heavy one?"" ""If it's the heavy one, it's rolling down faster."" Said with head nod. Like, ""yeah let's do that.""",,1,,,,,,,,,,,,
RD6, long ,,,RD1v,,,RD6-s.wav,,RD6-v.wav,,,,,,1,1,,,,,,,,,,,,
RD7, low ,,,RD1v,,,RD7-s.wav,,RD7-v.wav,,,,,,1,1,,,,,,,,,,,,
RD8, short ,,,RD1v,,,RD8-s.wav,,RD8-v.wav,,,,,,1,1,,,,,,,,,,,,
RD9, tennis ball ,,,RD9v,,,RD9-s.wav,,RD9-v.wav,,,,,,1,1,,,,,,,,,,,,
RD10,balls and stuff always roll down hills more when they're like really  steep,,balls and stuff always be rollin' down hills more when they like really  steep,RD10v,"start=""sp1:start"" end=""sp1:start+5.3""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+3.5' end='sp1:start+4.9'",/><face type='FACS' au='2' amount='.3' stroke='sp1:start+4.4' end='sp1:start+5.5'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+3.2' end='sp1:start+4.3'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+3.2' end='sp1:start+4.3',RD10-s.wav,,RD10-v.wav,,,be; copula,,,,1,,,,,,,,,,,,
RD11,do you think if the ball is bigger it will get  fewer rolls down the ramp?,,,RD11v,"start=""sp1:start"" end=""sp1:start+3.8""/><face type='FACS' au='4' amount='.3' stroke='sp1:start' end='sp1:start+1.5'/><face type='FACS' au='45' amount='.2' stroke='sp1:start' end='sp1:start+1.5'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+2.8' end='sp1:start+3.6'",,RD11-s.wav,,RD11-v.wav,,,copula,,,,1,,,,,,,,,,,,
