RootName,SBE_Utterance_Analysis,,AAVE_Utterance_Analysis,AAVE_Utterance_BML,AAVE_Utterance_Phonetics,SBE_wav_name,SBE_wav,AAVE_wav_name,AAVE_wav,NeutralDistinct,AAVEFeatures,Phono,Gesture,TaskIntro,Monologue,MonologueNumber,Gesture,args,aae_args,Feedback: test,AT: test,Social: test,Task Intro: test,Prepping for presentation: test,Presentation Mode: test,Social Talk: test,Accountable Talk: test,On-task Sentences: test,Dialect Use: test
G109,hey what's up?,,Hey whassup,,,,,,,,,,G109v,,,,G109v,"start=""sp1:start"" end=""sp1:start+2""",,,,,,,,,,,
G110,pretty good,,pretty good,,,,,,,,,,G110v,,,,G110v,"start=""sp1:start"" end=""sp1:start+.8""",,,,,,,,,,,
G111,How's it going?,,How's it going?,,,,,,,,,,G111v,,,,G111v,"start=""sp1:start"" end=""sp1:start+1.1""",,,,,,,,,,,
G112,It's all good,,It all good,,,,,,,,,,G112v,,,,G112v,"start=""sp1:start"" end=""sp1:start+1""",,,,,,,,,,,
G113,Do anything fun last week?,,Do anyfing fun las' week?,,,,,,,,,,G113v,,,,G113v,"start=""sp1:start"" end=""sp1:start+1.8""",,,,,,,,,,,
G114,I played some video games,,I play some video game,,,,,,,,,,G114v,,,,G114v,"start=""sp1:start"" end=""sp1:start+1.8""",,,,,,,,,,,
G115,Just hanging out and stuff,,Just hangin' out and stuff,,,,,,,,,,G115v,,,,G115v,"start=""sp1:start"" end=""sp1:start+1.9""",,,,,,,,,,,
G116,"Wait, I didn't hear that",,"Wait, I didn't hear dat",,,,,,,,,,G116v,,,,G116v,"start=""sp1:start"" end=""sp1:start+2.1""",,,,,,,,,,,
G117,What'd you say?,,Whadju say?,,,,,,,,,,G117v,,,,G117v,"start=""sp1:start"" end=""sp1:start+2.1""",,,,,,,,,,,
G118,"Wait, what'd you say?",,"Wait, whadju say?",,,,,,,,,,G118v,,,,G118v,"start=""sp1:start"" end=""sp1:start+2.1""",,,,,,,,,,,
G119,See you next week!,,See ya next week,,,,,,,,,,G119v,,,,G119v,"start=""sp1:start"" end=""sp1:start+2.1""",,,,,,,,,,,
G120,"Oh, where?",,"Oh, where?",,,,,,,,,,G120v,,,,G120v,"start=""sp1:start"" end=""sp1:start+2.1""",,,,,,,,,,,
G121,That sounds fun,,That sound fun,,,,,,,,,,G121v,,,,G121v,"start=""sp1:start"" end=""sp1:start+2.1""",,,,,,,,,,,
G122,My teacher pulled me out to do this.,,My teacher pull me out to do this,,,,,,,,,,G122v,,,,G122v,"start=""sp1:start"" end=""sp1:start+2.1""",,,,,,,,,,,
G123,She says this can help me learn how to do science better,,She say this can help me learn how to do science better,,,,,,,,,,G123v,,,,G123v,"start=""sp1:start"" end=""sp1:start+3.2""",,,,,,,,,,,
G124,We're just talking,,We're jus' talking,,,,,,,,,,G124v,,,,G124v,"start=""sp1:start"" end=""sp1:start+1.5""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+.1' end='sp1:start+1'",/><face type='FACS' au='2' amount='.3' stroke='sp1:start+.1' end='sp1:start+.9',,,,,,,,,,
