ID,English,Chinese,Phonetic Chinese,Recording Number,,Gesture,args,aae_args
G1,Hi,??,ni hao,1,,G1c,,
G2,I'm Aleshee-,????,wo shi ai lei si,2,,G2c,,
G4,I'm in third grade,???????,wo shian zai du san nian gee,3,,G4c,,
G8,"I'm not real, remember?",???????????,"wo bu shi zhen de ren, gee de ma?",4,,G8c,,
G9,I'm a girl,?????,wo shi nyuu hai er,5,,G9c,,
G10,I'm a boy,?????,wo shi nan hai er,6,,G10c,,
G11,"I don't play any sports this year, but last year I played basketball.","?????????,????????","gee-in nian wo bu zuo ren he yun dong, dan chee-u nian wo da lan chee-iu",7,,G11c,,
G12,"I do stuff, I'm just a computer person, too.","????,??????????????","wo zuo shi chee-ing, dang wo ye zhi suan shi yi ge ji suan ji de ren",8,,G12c,,
G13,I like it,???,wo shee-i huan,9,,G13c,,
G14,Not really,????,bu shi te bie,10,,G14c,,
G15,I love video games.,???????,wo ai wan dian nao you shee-i,11,,G15c,,
G16,Minecraft.,????,wo de shi jie,12,,G16c,,
G17,You?,??,nee? ,13,,G17c,,
G18,What about you?,???,ni ne? ,14,,G18c,,
G19,What's your name?,???????,ni jiao shen muh ming zi? ,15,,G19c,,
G20,What grade are you in?,??????,ni shang ji nian ji? ,16,,G20c,,
G21,"Oh, cool.","?, ?","o, kuu",17,,G21c,,
G22,Mostly computer games.,????????,yi ban shi wan dian nao you shee-i,18,,G22c,,
G23,I have like teachers and stuff.,?????????????,en wo you lao shi de chee-i ta shen muh de,19,,G23c,,
G24,I guess I'm kind of like a game.,?????????,en wo suan shi yi ge you shee-i ba ,20,,G24c,,
G25,I like sports,?????,wo shee-i huan yun dong. ,21,,G25c,,
G26,I have two little sisters,??????,wo you liang ge muhi muhi,22,,G26c,,
G27,I've never done anything like this before,???????????,wo cong lai muhi you zuo guo zhe yang de shi,23,,G27c,,
G28,What about you?,???,ni ne? ,24,,G28c,,
G30,I guess,?????,wo cai ye shi ba,25,,G29c,,
G31,I guess I like science.,???????,wo shee-iang wo shee-i huan ke shee-uuue,26,,,,
G32,It's okay.,??,hai shee-ing,27,,,,
G33,My teacher's really nice.,????????,wo de lao shi te bie shan liang,28,,,,
G34,Do you?,???,ni ne? ,29,,,,
G35,What's yours?,??????,ne de shi shen muh,30,,,,
G37,Thanks!,???,shee-ie shee-ie ,31,,,,
G38,Me too.,???,wo ye shi,32,,,,
G39,Nuh-uh!,???,bu shi a,33,,,,
G40,Uh-huh!,??,o,34,,,,
G41,I'm not sayin',??????,wo de yi si bu shi,35,,,,
G42,Mine too.,????,wo de ye shi,36,,,,
G43,You too!,???,ni ye shi ,37,,,,
G44,Hmmm,?.,en,38,,,,
G45,Hm.,?/?,en.,39,,,,
G46,Let me think,????,ran wo shee-iang shee-iang ,40,,,,
G47,Well,????,zhe,41,,,,
G50b,Yeah,?,dui,42,,,,
G50,Yeah!,???,dui de!,43,,,,
G52,Uh-huh?,???,shen muh?,44,,,,
G53,Mhm,??,dui de!,45,,,,
G58,I'm not sure,????,wo bu chee-ue ding,46,,,,
G59,Nah,???,muhi you la,47,,,,
G60,No,??,muhi you la,48,,,,
G61,I don't,???,wo muhi you,49,,,,
G62,I do,??,wo you liang ge muhi muhi,50,,,,
G63,Oooh,?~~,wo,51,,,,
G64,Oh,?,o,52,,,,
G65,That makes sense.,???,you dao li,53,,,,
G67,"Oh, nevermind",????,"o, suan le",54,,,,
G68,Probly like,?????,ying gai shee-iang ,55,,,,
G69,You're crazy,???,ni feng le,56,,,,
G71,"Yeah, that's right I think",??????,enwo shee-iang shi dui de,57,,,,
G72,"Wait, I don't think",?????????,deng yi shee-iangwo jue de bu,58,,,,
G73,"Yeah, I think so too.",????,wo ye jue de,59,,,,
G74,Think we're done?,??????????,ni jue de wo muhn zuo wan le ma? ,60,,,,
G78,Oookay. Any ideas?,?????????,hao le! you shen muh shee-iang fa? ,61,,,,
G80,"I think now we have to, um, come up with our presentations. For the teacher.",?????????????????????.,wo shee-iang wo muhn shee-ian zai ying gaientao lun yi shee-ia wo muhn gei lao shi de yan jiang,62,,,,
G81,Think it's time for the presentation part?,????????????,gai tao lun yi shee-ia wo muhn de yan jiang le? ,63,,,,
G82,I can go first.,?????,wo ke yi shee-ian shuo,64,,,,
G90,Because,??,yin wei ,65,,,,
G91,and,?? (and then) ? (in addition),ran hou he,66,,,,
G92b,See ya!,??,zai jian,67,,,,
G93b,Bye!,??,bai bai,68,,,,
G95,You wanna go?,?????,ni shee-iang chee-u ma?,69,,,,
G96,Nope,?,bu,70,,,,
G97,Yeah okay nevermind,????????,"o, dui, suan le suan le",71,,,,
G102,Do you wanna go?,?????,ni shee-iang chee-u ma? ,72,,,,
G108,No you are,????,"bu, ni shi",73,,,,
G109,Yeah thanks,?????,"o dui, shee-ie shee-ie",74,,,,
G110,Um okay,????,"en, hao ba",75,,,,
G111,Is not,???,bu shi de,76,,,,
G112,Is so,??,shi de,77,,,,
G113,Yeah it does,????,"dui, hui de",78,,,,
G114,Uh huh,??,en en ,79,,,,
G121,I think we're doing good,?????????,wo jue de wo muhn zuo de hen hao ,80,,,,
G122,Cool,??,bu cuo,81,,,,
G110n,pretty good,???,ting hao de,82,,,,
G111n,How's it going?,???,zen de yang,83,,,,
G112n,It's all good,????,dou ting hao de,84,,,,
G117n,What'd you say?,?????,ni shuo shen muh,85,,,,
G121n,That sounds fun,?????????,en ting chee-i lai hen you chee-u,86,,,,
G162,I do not learn that at school,??????? ,wo zai shee-uuue shee-iao muhi you shee-uuue,87,,,,
G163,Can you um teach it to me?,?????????,ni ke yi jiao wo ma?,88,,,,
G164,What's that?,?????,na shi shen muh? ,89,,,,
G165,Well I kind of agree but I kind of disagree too,????????????????,"ni shuo de ke neng dui ba, dan wo hai shi bu tai chee-ue ding",90,,,,
G166,I don't really  know how to talk about that stuff. ,??????????????,wo zhen de bu zhi dao zen muh tao lun zhe shee-ie dong shee-i,91,,,,
G167,Can you teach me so I know it better for neshee-t time?,???????????????,ni neng jiao wo ma? wo shee-ia ci hao zhi dao zen muh zuo,92,,,,
G168,That's a really good question,??????,zhe shi ge hao wen ti,93,,,,
G169,I guess we have to um review the ideas we talked about last time,?????.?????????????,wo shee-iang wo muhn .enyao hui shee-iang wo muhn shang ci tao lun the shee-iang fa,94,,,,
G174,Can we skip that one?,???????????,wo muhn ke yi tiao guo zhe yi ge ma,95,,,,
G177,Sorry for interrupting!,"???,????!","dui bu chee-i, da duan yi shee-ia",96,,,,
AT4a,"So wait, are you saying",??????????,"o deng yi shee-ia, ni shi shuo",97,,,,
AT4b,"So wait, are you saying",???????????.,"deng yi shee-ia, ni de yi si shi bu shi",98,,,,
AT5,Oh why?,??????,"o, wei shen muh? ",99,,,,
AT9,But,??,ke shi,100,,,,
AT10,"But what if, like",?????????,"ke shi, na yao shi",101,,,,
AT11,Maybe sometimes,?????,ye shee-uuu you shi hou,102,,,,
AT12,"Well, I was thinking about that too, but","?,???????,??","en, wo ye shi zai shee-iang na ge, dan shi",103,,,,
AT13a,But what about when like,????????,"ke shi, na yao shi",104,,,,
AT14,"Do you think so too, or no?",?????????,ne ye shi zhe muh ren wei ma? ,105,,,,
AT16,"Do you agree or, um, disagree with that?",?????,ni tong yi ma? ,106,,,,
AT17,I'm not sure about it though. What do you think?,???????????,wo bu tai chee-ue ding. ni jue de na? ,107,,,,
AT18,Any other ideas?,??????,chee-i ta de shee-iang fa? ,108,,,,
AT19,What else,???,ran hou na? ,109,,,,
AT20,Why?,????,wei shen muh?,110,,,,
AT22a,What do you think?,?????,ni jue de na? ,111,,,,
RP1,Wanna practice our presentations for the teacher now?,???????????????,shee-ian zai shee-iang liang shee-i wo muhn gei lao shi de yan jiang ma?,112,,,,
RP2,I think we have to do the presentation practice now,????????????,wo shee-iang wo muhn shee-uuu yao shee-iang zai lian shee-i yan jiang. ,113,,,,
RP3,Let's practice by taking turns pretending to be the teacher!,?????????????!,wo muhn lun liu jia zhuang dang lao shi lian shee-i ba,114,,,,
RP4,"First, I'll pretend that I'm the teacher and I'll ask you questions about, um, our ideas","??,?????????????,?,???????????",shou shee-ian wo hui jia zhuang wo shi lao shi. wo hui wen ni en guan yu wo muhn de shee-iang fa de wen ti. ,115,,,,
RP5,Then you can pretend to be the teacher and you can ask me questions!,???????????????!,"ran hou ni ke yi jia zhang dang lao shi, wen wo wen ti!",116,,,,
RP6,That was fun,????,you yi si!,117,,,,
RP7,The person said they wanted me to be the teacher first. I don't know why.,?????????????????????,"ta shuo ta shee-iang shee-ian wo lai jia zhang dang lao shi, wo ye bu zhi dao wei shen muh",118,,,,
RP9,Okay first question,???????,"hao, di yi ge wen ti ",119,,,,
RP10,Okay neshee-t question,???????,hao shee-ia yi ge wen ti ,120,,,,
RP11,Now,??,shee-ian zai ,121,,,,
RP12,Good answer,????,hui da de hao,122,,,,
RP13,"Okay that was um, a very good job",???? ????,"hao, en, zuo de hen hao",123,,,,
RP14,"Okay, cool um, good",?? ?? ?,"hao, en hao",124,,,,
RP15,Could you um give more information?,?.???????????,en.ni ke yi duo gao su wo yi dian ma? ,125,,,,
RP16,Wait try saying it like you would to a teacher,????????????????,"deng yi shee-i, ni shi zhe shee-iang zai gen lao shi jiang yi yang ",126,,,,
RP18,What about asking something about the sorta stuff we were talking about?,?????????????????,yao bu ,127,,,,
RP19,now you try being the teacher and ask me questions!,????????????!,shee-ian zai ni shi zhe dang lao shi wen wo en ti,128,,,,
RP20,"I think you just need to ask me questions about the stuff we did, like a teacher would do",?????????????????????,ni jiu shee-iang lao shi na yang wen guan yu wo muhn de yan jiang de wen ti jiu hao le,129,,,,
RP43,What um was your goal today?,???????????,en ni jin tian de mu biao shi shen muh,130,,,,
RP46,Yes I had fun thank you for asking.,"??,????????????","shi de, wo hen kai shee-in, shee-ie shee-ie ni de yao wen",131,,,,
CD1,Do you think he digs for stuff? Like food?,?????????????????,ni jue de ta hui wa dong shi ma? shee-iang shi wu yi lei de? ,132,,,,
CD2,"Do you think he lives in a group somewhere? Or like, alone?",????????????????????,ni jue de ta shi cheng chee-un zhu de ma? hai shi.yi ge ren zhu? ,133,,,,
CD3,Do you think he sleeps in those trees?,???????????,ni jue de ta zai shi li shee-uuue jiao ma? ,134,,,,
CD4,Do you think he uses his horns to help him eat?,?????????????????,ni jue de ta hui yong ta de jiao lai bang zhu ta jin shi ma? ,135,,,,
CD5,Do you think the spikes are  um sharp enough to hunt the bunnies?,????????????????,ni jue de ta de ci zu gou jian rue lai zhua tu zi ma? ,136,,,,
CD6,Do you think he eats other animals? Like mice or fish?,?????????????????,ni jue de ta chi bie de dong wu ma? shee-iang lao shuhuo yu? ,137,,,,
CD7,Do you think he eats meat or just lots of plants?,????????????????,ni jue de ta shi chi ro hai shi chi yi da dui shu cai? ,138,,,,
CD8,"Do you think this is where he lives, or just where he comes to get food?",??????????????????,ni ren wei ta zhu zai zhe er o zhi shi zai zhe er chi dong shee-i? ,139,,,,
CD9,Doesn't look like he can stand up very well,????????????,ta bu shee-iang ke yi zhan de hen wen de yang zi. ,140,,,,
CD10,Going around at night would be good because he doesn't have a lot of ways to protect himself,????????????????????????????,wan shang dao chu zou dui ta ye shee-uuu shi hao de yin wei ta muhi you ta duo chee-i ta bao hu zi ji de fang shi,141,,,,
CD11,He probly eats things he can just pick up really easily so he doesn't have to fight,??????????????????????????,"ta ye shee-uuu zhi chi ta neng gou sui shou na dao de shi wu, zhe yang ta jiu bu yong he bie de ren chee-iang",142,,,,
CD12,He probly picks leaves from the trees and builds a shelter so he can stay warm,???????????????????????????,"ta ye shee-uuu cong shu shang zai shu ye chi, ran hou ye yong na shee-ie shu ye yao zao ta de jia lai bao nuan",143,,,,
CD13,He probly um uses his horns to fight other animals like either to attack them or to protect himself,????.??????????????????,ta ye shee-uuuenyong ta de jiao lai gong gee bie de dong wu ho zhe bao hu ta zi ji,144,,,,
CD14,"He could probly use sticks um, leaves",????????.?.???????,ta ye shee-uuu ke yi yong shu ji en huo zhe shu ye,145,,,,
CD15,He doesn't look like he has sharp teeth or claws or anything.,???????????????????,ta kan shang chee-u bu shee-iang you jian jian de ya chi huo zhe zhua zi zhi lei de,146,,,,
CD16,He has a pretty big mouth like a frog mouth,??????????,ta de zui shee-iang chee-ing wa zui yi yang da,147,,,,
CD17,He has long arms and short legs like a gorilla,????????????????????,ta you liang tiao chang chang de shou he liang tiao shee-iang da shee-ing shee-ing yi yang duan de tui,148,,,,
CD18,He has that  stripe in his eye,????????,ta de tong kong shi tiao zhuang de,149,,,,
CD19,He looks like a mishee- of monkeys and deer and maybe like a frog too,????????????????????,"ta kan shang chee-u shee-iang hou zi he lu de hun he ti, ye you dian shee-iang chee-ing wa",150,,,,
CD20,He looks like he's a good climber,?????????????,ta kan shang chee-u shee-iang shi hen hui pa shu de yang zi ,151,,,,
CD21,He looks like he has monkey feet so he could probly like he could use them to climb,????????????????????,"kan hai ta you shee-iang hou zi yi yang de jiao, suo yi ye shee-uuu ta hui pa shu",152,,,,
CD22,"He probly eats grass and leaves and tree- well not trees, but like the leaves off them",????????????????????,ta ye shee-uuu chi cao he shu ye he shubu bu shi shushi shu shang de ye zi ,153,,,,
CD23,"He probly needs to use the spikes on his back to, ya know, stay alive somehow",?????????????????,ye shee-uuu ta yong ta bei hou de ci chee-uni zhi daosheng cun shee-iao lai,154,,,,
CD24,He's all by himself,??????,ta zong shi yi ge ren,155,,,,
CD25,He's got his arms all spread out like he's sneaking around,???????????????????????,"ta de shou bi shen zhang kai lai, hao shee-iang you tou tou mo mo zuo shen muh shi chee-ing yi yang ",156,,,,
