RootName,SBE_Utterance_Analysis,AAVE_Utterance_Analysis,AAVE_Utterance_BML,AAVE_Utterance_Phonetics,SBE_wav_name,SBE_wav,AAVE_wav_name,AAVE_wav,NeutralDistinct,AAVEFeatures,Phono,Gesture_Empty,TaskIntro,Monologue,MonologueNumber,Gesture,args,aae_args,Feedback: test,AT: test,Social: test,Task Intro: test,Presentation Mode: test,Science Monologue: test,Social Talk: test,Accountable Talk: test,On-task Sentences: test,Dialect Use: test
CD1,Do you think he digs for stuff? Like food?,You think he dig for stuff? Like food?,You fink he dig for stuff? Like food?,You fink he dig for stuff? Like food?,CD1-s.wav,,CD1-v.wav,x,d,verbalS,,,,,,Alex_Do_you_think_they_can_dig_for_stuff,"start=""sp1:start"" end=""sp1:start+3.8""","start=""sp1:start"" end=""sp1:start+4.3""",,,,,,,,,,
CD2,"Do you think he lives in a group somewhere? Or like, alone?","You think he live in a group somewhere? Or like, alone?",You fink he live in a group somewhere? Or like alone?,"You fink he live in a group somewhere? Or like, alone?",CD2-s.wav,,CD2-v.wav,x,d,verbalS,,,,,,Alex_I_wonder_if_they_hunt_better_like_alone_or_as_a_group,"start=""sp1:start"" end=""sp1:start+3.9""","start=""sp1:start"" end=""sp1:start+4""",,,,,,,,,,
CD3,Do you think he sleeps in those trees?,You think he sleep in those tree?,You fink he sleep in dose tree?,You fink he sleep in dhose tree?,CD3-s.wav,,CD3-v.wav,x,d,"verbalS, plural",,,,,,Alex_Do_you_think_they_sleep_in_the_trees,"start=""sp1:start"" end=""sp1:start+2.25""/><face type='FACS' au='2' amount='.15' stroke='sp1:start+1.4' end='sp1:start+2'/><face type='FACS' au='45' amount='.25' stroke='sp1:start+.1' end='sp1:start+1'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+.1' end='sp1:start+1'",/><face type='FACS' au='2' amount='.15' stroke='sp1:start+1.4' end='sp1:start+2'/><face type='FACS' au='45' amount='.25' stroke='sp1:start+.1' end='sp1:start+1'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+.1' end='sp1:start+1',,,,,,,,,,
CD4,Do you think he uses his horns to help him eat?,You think he use his horn� to help him... eat?,You fink he use his horn to help him eat?,You fink he use his horn to help him eat?,CD4-s.wav,,CD4-v.wav,x,d,verbalS,,,,,,Alex_Do_you_think_they_use_their_horns_to_help_them_eat,"start=""sp1:start"" end=""sp1:start+4.6""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+3.4' end='sp1:start+4.1'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1.3'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+1.3'","start=""sp1:start"" end=""sp1:start+5""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+4.1' end='sp1:start+4.85'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1.3'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+1.3'",,,,,,,,,,
CD5,Do you think the spikes are  um sharp enough to hunt the bunnies?,You think the spike um... sharp enough to hunt the bunny?,You fink the spike um sharp enough to hunt the bunny?,You fink the spike um sharp enough to hunt the bunny?,CD5-s.wav,,CD5-v.wav,x,,,,,,,,Alex_Do_you_think_the_spikes_are_sharp_enough_to_hunt_the_bunnies,"start=""sp1:start"" end=""sp1:start+5.1""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+2'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+2'","start=""sp1:start"" end=""sp1:start+5.2""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+2'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+2'",,,,,,,,,,
CD6,Do you think he eats other animals? Like mice or fish?,You think he eat other animals? Like mice or� fish?,You fink he eat other animals? Like mice or fish?,You fink he eat other animals? Like mice or fish?,CD6-s.wav,,CD6-v.wav,x,,verbalS,,,,,,Alex_Do_you_think_they_can_eat_other_animals_like_mice_or_fish,"start=""sp1:start"" end=""sp1:start+6.2""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+5.1' end='sp1:start+5.6'","start=""sp1:start"" end=""sp1:start+6.25""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+4.9' end='sp1:start+5.5'",,,,,,,,,,
CD7,Do you think he eats meat or just lots of plants?,You think he eat meat or just... lots of plant?,You fink he eat meat or jus lossa plant?,You fink he eat meat or jus' lo'ssa plant?,CD7-s.wav,,CD7-v.wav,x,,verbalS; plural,TD,,,,,Alex_you_think_they_eat_meat_or_just_like_plants,"start=""sp1:start"" end=""sp1:start+4.4""/><face type='FACS' au='2' amount='0.2' stroke='sp1:start+.7' end='sp1:start+1.35'/><face type='FACS' au='45' amount='0.25' stroke='sp1:start+1.355' end='sp1:start+2.35'/><face type='FACS' au='4' amount='0.25' stroke='sp1:start+1.355' end='sp1:start+2.35'/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+3.4' end='sp1:start+3.9'","start=""sp1:start"" end=""sp1:start+3.7""/><face type='FACS' au='2' amount='0.2' stroke='sp1:start+.7' end='sp1:start+1.35'/><face type='FACS' au='45' amount='0.25' stroke='sp1:start+1.355' end='sp1:start+2.35'/><face type='FACS' au='4' amount='0.25' stroke='sp1:start+1.355' end='sp1:start+2.35'/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+2.6' end='sp1:start+3.3'",,,,,,,,,,
CD8,"Do you think this is where he lives, or just where he comes to get food?",You think this where he live... or just where he come get food?,You fink dis where he live or jus where he come git food?,"You fink dis where he live, or jus' where he come git food?",CD8-s.wav,,CD8-v.wav,x,,copula; verbalS; verbalS,TD; git,,,,,Alex_do_you_think_this_is_where_they_live_or_just_where_they_come_to_get_food,"start=""sp1:start"" end=""sp1:start+4.7""/><face type='FACS' au='4' amount='0.35' stroke='sp1:start+2.1' end='sp1:start+2.7'/><face type='FACS' au='45' amount='0.35' stroke='sp1:start+2.1' end='sp1:start+2.7'/><face type='FACS' au='2' amount='0.35' stroke='sp1:start+4' end='sp1:start+4.6'","start=""sp1:start"" end=""sp1:start+4.5""/><face type='FACS' au='4' amount='0.35' stroke='sp1:start+2.1' end='sp1:start+2.7'/><face type='FACS' au='45' amount='0.35' stroke='sp1:start+2.1' end='sp1:start+2.7'/><face type='FACS' au='2' amount='0.35' stroke='sp1:start+3.6' end='sp1:start+4'",,,,,,,,,,
CD9,Doesn't look like he can stand up very well,Don't look like he can stand up so good,Don't look like he kin stan up so good,Don't look like he kin stan' up so good,CD9-s.wav,,CD9-v.wav,x,,don't,kin,,,,,Alex_Doesnt_look_like_they_can_stand_up_very_well,"start=""sp1:start"" end=""sp1:start+2.5""/><face type='FACS' au='4' amount='0.35' stroke='sp1:start+0' end='sp1:start+.7'/><face type='FACS' au='45' amount='1' stroke='sp1:start+0' end='sp1:start+.7'",/><face type='FACS' au='4' amount='0.35' stroke='sp1:start+0' end='sp1:start+1.1'/><face type='FACS' au='45' amount='1' stroke='sp1:start+0' end='sp1:start+1',,,,,,,,,,
CD10,Going around at night would be good because he doesn't have a lot of ways to protect himself,Going around at night be good cuz� he ain't got a lot of way to protect himself,Going around at night be good cuz he ain't got a lot of way to protect hisself,Goin' aroun' at night be good cuz he ain't got a lot of way to protec' hisself,CD10-s.wav,,CD10-v.wav,x,,ain't; got; pluralS,NG; TD; cuz; TD; hisself,,,,,Alex_Going_around_at_night_would_be_good,"start=""sp1:start"" end=""sp1:start+6.1""/><face type='FACS' au='2' amount='.25' stroke='sp1:start+1' end='sp1:start+1.65'/><face type='FACS' au='2' amount='.25' stroke='sp1:start+1.8' end='sp1:start+2.4'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+2.8'/><face type='FACS' au='45' amount='1' stroke='sp1:start+2.8'","start=""sp1:start"" end=""sp1:start+5.3""/><face type='FACS' au='2' amount='.25' stroke='sp1:start+1.35'/><face type='FACS' au='4' amount='.4' stroke='sp1:start+2.5'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+2.5'/><face type='FACS' au='2' amount='.2' stroke='sp1:start+1.9' end='sp1:start+2.1'",,,,,,,,,,
