RootName,SBE utterance,NeutralDistinct,AAVE utterance,Notes_AAVEFeatures,Notes_Phono,Notes for recording,Gesture,Science Monologue: test,MonologueNumber,Task Intro: test,On-task Sentences: test,Feedback: test,AT: test,Social: test,Prepping for presentation: test,Social Talk: test,Accountable Talk: test,Dialect Use: test,,,,,,,,,,
,Do those middle beams need to go all the way down?,n,,,,,,,,,1,,,,,,1,,,,,,,,,,,
,"Do we need more beams to um, hold it up better?",n,,,,,,,,,1,,,,,,1,,,,,,,,,,,
,Do you think it has to be the same on both sides?,,,,,,,,,,1,,,,,,1,,,,,,,,,,,
,I wonder if it needs that beam across the middle…,,I wonder do you think it need a like beam across the middle…,verbalS,,,,,,,1,,,,,,,,,,,,,,,,,
,"Do you think it should be um, high up or low?",,,,,,,,,,1,,,1,,,1,,,,,,,,,,,
,"Do you think it should be um, symmetric or… different on the two sides?",,"Do you think it should be um, symmetric or… different on the two side?",plural,,,,,,,1,,,,,,,1,,,,,,,,,,
,Do you think that would be strong enough?,,,,,,,,,,1,,,,,,,1,,,,,,,,,,
,Do you think that'll help them stay up?,,,,,,,,,,1,,,,,,1,,,,,,,,,,,
,Do you think that's gonna make it too heavy?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Do you think the beams in the water are… less stable than the ones on the land?,,Do you think the beams in the water ... less stable than the ones on the land?,copula,,"Legitimate question, should sound curious",,,,,1,,,,,,,,,,,,,,,,,
,Do you think the boat's gonna fit?,,Do you think the boat gon' fit?,copula,gon',,,,,,1,,,,,,,,,,,,,,,,,
,Isn't that going to make it less stable?,,Ain't that gon' make it less stable?,,,,,,,,1,,,,,,,,,,,,,,,,,
,What about those half-way supports? By the top?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"Does it need the beam in the, um, middle part?",,"Do it need the beam in the, um, middle part?",do,,,,,,,1,,,,,,,,,,,,,,,,,
