G1,Hi,,Hi,,,,,,,,,,,,,Alex_Hi,"start=""sp1:start"" end=""sp1:start+5.4""/><face type='FACS' au='2' amount='0.4' stroke='sp1:start' end='sp1:start+1'","start=""sp1:start"" end=""sp1:start+5.4""/><face type='FACS' au='2' amount='0.4' stroke='sp1:start' end='sp1:start+1'"
G2,I'm Alex,,I'm Alex,,,,,,,,,,,,,Alex_Im_Alex,"start=""sp1:start"" end=""sp1:start+1.2""/><face type='FACS' au='2' amount='0.25' stroke='sp1:start+0' end='sp1:start+1'","start=""sp1:start"" end=""sp1:start+1""/><face type='FACS' au='2' amount='0.25' stroke='sp1:start+0' end='sp1:start+1'"
G3,I'm in second grade,,I'm in second grade,,,,,,,,,,,,,Alex_Im_in_fifth_grade,"start=""sp1:start"" end=""sp1:start+2""","start=""sp1:start"" end=""sp1:start+2"""
G4,I'm in third grade,,I'm in fird grade,,,,,,,,,,,,,Alex_Im_in_third_grade,"start=""sp1:start"" end=""sp1:start+1.4""","start=""sp1:start"" end=""sp1:start+1.3"""
G5,I'm in fourth grade,,I'm in fourf grade,,,,,,,,,,,,,Alex_Im_in_fifth_grade,"start=""sp1:start"" end=""sp1:start+1.4""","start=""sp1:start"" end=""sp1:start+1.9"""
G6,I'm in fifth grade,,I'm in fif' grade,,,,,,,,,,,,,Alex_Im_in_fifth_grade,"start=""sp1:start"" end=""sp1:start+1.5""","start=""sp1:start"" end=""sp1:start+1.8"""
G7,I'm in sixth grade,,I'm in six grade,,,,,,,,,,,,,Alex_Im_in_third_grade,"start=""sp1:start"" end=""sp1:start+1.7""","start=""sp1:start"" end=""sp1:start+1.7"""
G8,"I'm not real, remember?",,"I ain't real, 'member?",,,,,,,,,,,,,,,
G9,I'm a girl,,I'm a girl,,,,,,,,,,,,,Alex_Im_Alex,"start=""sp1:start"" end=""sp1:start+1.8""/><face type='FACS' au='2' amount='0.25' stroke='sp1:start+0' end='sp1:start+1'","start=""sp1:start"" end=""sp1:start+1.2""/><face type='FACS' au='2' amount='0.25' stroke='sp1:start+0' end='sp1:start+1'"
G10,I'm a boy,,I'm a boy,,,,,,,,,,,,,Alex_Im_Alex,"start=""sp1:start"" end=""sp1:start+1.6""/><face type='FACS' au='2' amount='0.25' stroke='sp1:start+0' end='sp1:start+1'","start=""sp1:start"" end=""sp1:start+1""/><face type='FACS' au='2' amount='0.25' stroke='sp1:start+0' end='sp1:start+1'"
G11,"I don't play any sports this year, but last year I played basketball.",,"I don't play no sports dis year, but last year I play basketball",,,,,,,,,,,,,Alex_I_dont_play_any_sports_this_year_but_last_year_I_played_basketball,"start=""sp1:start"" end=""sp1:start+4.2""/><face type='FACS' au='45' amount='1' stroke='sp1:start+.1' end='sp1:start+.9'/><face type='FACS' au='4' amount='.4' stroke='sp1:start+.1' end='sp1:start+.9'","start=""sp1:start"" end=""sp1:start+4""/><face type='FACS' au='45' amount='1' stroke='sp1:start+.1' end='sp1:start+.9'/><face type='FACS' au='4' amount='.4' stroke='sp1:start+.1' end='sp1:start+.9'"
G12,"I do stuff, I'm just a computer person, too.",,"I do stuff, I'm jus' a computer person, too.",,,,,,,,,,,,,,,
G13,I like it,,I like it,,,,,,,,,,,,,Alex_I_do,"start=""sp1:start"" end=""sp1:start+1.1""","start=""sp1:start"" end=""sp1:start+1"""
G14,Not really,,Not really,,,,,,,,,,,,,,,
G15,I love video games.,,I love video games,,,,,,,,,,,,,,,
G16,Minecraft.,,Minecraft,,,,,,,,,,,,,Alex_I_do,"start=""sp1:start"" end=""sp1:start+1.2""","start=""sp1:start"" end=""sp1:start+1.2"""
G17,You?,,You?,,,,,,,,,,,,,Alex_What_else,"start=""sp1:start"" end=""sp1:start+.9""/><face type='FACS' au='45' amount='0.4' stroke='sp1:start+0' end='sp1:start+.9'/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+0' end='sp1:start+.9'","start=""sp1:start"" end=""sp1:start+.9""/><face type='FACS' au='45' amount='0.4' stroke='sp1:start+0' end='sp1:start+.9'/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+0' end='sp1:start+.9'"
G18,What about you?,,What bout you?,,,,,,,,,,,,,Alex_Whats_your_name,"start=""sp1:start"" end=""sp1:start+1.4""","start=""sp1:start"" end=""sp1:start+1.3"""
G19,What's your name?,,Whas your name?,,,,,,,,,,,,,Alex_Whats_your_name,"start=""sp1:start"" end=""sp1:start+1.3""/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+.1' end='sp1:start+.8'/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+.1' end='sp1:start+.8'","start=""sp1:start"" end=""sp1:start+1""/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+.1' end='sp1:start+1'/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+0.1' end='sp1:start+1'"
G20,What grade are you in?,,What grade you in?,,,,,,,,,,,,,Alex_Whats_your_name,"start=""sp1:start"" end=""sp1:start+1.5""/><face type='FACS' au='45' amount='0.4' stroke='sp1:start+.1' end='sp1:start+1'/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+0.1' end='sp1:start+1'","start=""sp1:start"" end=""sp1:start+1.3""/><face type='FACS' au='45' amount='0.4' stroke='sp1:start+.1' end='sp1:start+1.'/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+0.1' end='sp1:start+1.'"
G21,"Oh, cool.",,"Oh, cool.",,,,,,,,,,,,,Alex_Oh_cool,"start=""sp1:start"" end=""sp1:start+1.5""/><face type='FACS' au='2' amount='.35' stroke='sp1:start+0' end='sp1:start+.43'","start=""sp1:start"" end=""sp1:start+1.4""/><face type='FACS' au='2' amount='.35' stroke='sp1:start+0' end='sp1:start+.43'"
G22,Mostly computer games.,,Mostly computer games.,,,,,,,,,,,,,,,
G23,I have like teachers and stuff.,,I got like teachers and stuff.,,,,,,,,,,,,,,,
G24,I guess I'm kind of like a game.,,I guess I'm kind of like a game.,,,,,,,,,,,,,,,
G25,I like sports,,I like sports,,,,,,,,,,,,,Alex_Oh_cool,"start=""sp1:start"" end=""sp1:start+1.8""","start=""sp1:start"" end=""sp1:start+1.8"""
G26,I have two little sisters,,I got two lil sister,,,,,,,,,,,,,,,
G27,I've never done anything like this before,,I ain't never done nothing like dis before.,,,,,,,,,,,,,Alex_Ive_never_seen_any_creatures_like_these_before,"start=""sp1:start"" end=""sp1:start+2.5""/><face type='FACS' au='45' amount='1' stroke='sp1:start+.17' end='sp1:start+.9'","start=""sp1:start"" end=""sp1:start+2.5""/><face type='FACS' au='45' amount='1' stroke='sp1:start+.17' end='sp1:start+.9'"
G28,What about you?,,What bout you?,,,,,,,,,,,,,Alex_Oh_why_curious,"start=""sp1:start"" end=""sp1:start+1.9""","start=""sp1:start"" end=""sp1:start+1.2"""
G29,My teacher's making me do this.,,My teacher making me do dis.,,,,,,,,,,,,,,,
G30,I guess,,I guess,,,,,,,,,,,,,Alex_Oh_why_curious,"start=""sp1:start"" end=""sp1:start+1.3""","start=""sp1:start"" end=""sp1:start+1.3"""
G31,I guess I like science.,,I guess I like science.,,,,,,,,,,,,,Alex_like,"start=""sp1:start"" end=""sp1:start+3.6""/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.1' end='sp1:start+1'/><face type='FACS' au='4' amount='.4' stroke='sp1:start+.1' end='sp1:start+1'","start=""sp1:start"" end=""sp1:start+2""/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.1' end='sp1:start+1'/><face type='FACS' au='4' amount='.4' stroke='sp1:start+.1' end='sp1:start+1'"
G32,It's okay.,,Is okay.,,,,,,,,,,,,,Alex_Uhhuh,"start=""sp1:start"" end=""sp1:start+1""","start=""sp1:start"" end=""sp1:start+1.2"""
G33,My teacher's really nice.,,My teacher real nice,,,,,,,,,,,,,,,
G34,Do you?,,Do you?,,,,,,,,,,,,,Alex_Oh_why_curious,"start=""sp1:start"" end=""sp1:start+1.2""/><face type='FACS' au='45' amount='0.4' stroke='sp1:start+.1' end='sp1:start+1'/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+0.1' end='sp1:start+1'","start=""sp1:start"" end=""sp1:start+.7""/><face type='FACS' au='45' amount='0.4' stroke='sp1:start+0' end='sp1:start+.7'/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+0' end='sp1:start+.7'"
G35,What's yours?,,Wha's yours?,,,,,,,,,,,,,Alex_Whats_your_name,"start=""sp1:start"" end=""sp1:start+1""/><face type='FACS' au='45' amount='0.4' stroke='sp1:start+0' end='sp1:start+1'/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+0' end='sp1:start+1'","start=""sp1:start"" end=""sp1:start+1""/><face type='FACS' au='45' amount='0.4' stroke='sp1:start+0' end='sp1:start+1'/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+0' end='sp1:start+1'"
G36,What's yours?,,Wha's yours?,,,,,,,,,,,,,Alex_Whats_your_name,"start=""sp1:start"" end=""sp1:start+1""/><face type='FACS' au='45' amount='0.4' stroke='sp1:start+0' end='sp1:start+1'/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+0' end='sp1:start+1'","start=""sp1:start"" end=""sp1:start+1""/><face type='FACS' au='45' amount='0.4' stroke='sp1:start+0' end='sp1:start+1'/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+0' end='sp1:start+1'"
G37,Thanks!,,Thanks!,,,,,,,,,,,,,Alex_Oh_cool,"start=""sp1:start"" end=""sp1:start+1""","start=""sp1:start"" end=""sp1:start+.6"""
G38,Me too.,,Me too.,,,,,,,,,,,,,Alex_Yeah_agreeing,"start=""sp1:start"" end=""sp1:start+1.2""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+1'","start=""sp1:start"" end=""sp1:start+.9""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.9'"
G39,Nuh-uh!,,Nuh uh,,,,,,,,,,,,,,,
G40,Uh-huh!,,Uh uh,,,,,,,,,,,,,Alex_Uhhuh,"start=""sp1:start"" end=""sp1:start+1.6""","start=""sp1:start"" end=""sp1:start+1"""
G41,I'm not sayin',,I ain't saying,,,,,,,,,,,,,Alex_Im_not_sure_disagreeing,"start=""sp1:start"" end=""sp1:start+2.3""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+0' end='sp1:start+2.3'/><face type='FACS' au='45' amount='.1' stroke='sp1:start+0' end='sp1:start+2.3'","start=""sp1:start"" end=""sp1:start+1.8""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+0' end='sp1:start+1.3'/><face type='FACS' au='45' amount='.1' stroke='sp1:start+0' end='sp1:start+1.3'"
G42,Mine too.,,Mine too.,,,,,,,,,,,,,Alex_Yeah_agreeing,"start=""sp1:start"" end=""sp1:start+1.4""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.4'","start=""sp1:start"" end=""sp1:start+1.6""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.4'"
G43,You too!,,You too!,,,,,,,,,,,,,Alex_Yeah_agreeing,"start=""sp1:start"" end=""sp1:start+1.2""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.4'","start=""sp1:start"" end=""sp1:start+.9""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.4'"
